wl	R
200	35.165
205	34.148
210	34.883
215	34.836
220	33.885
225	34.028
230	35.41
235	35.862
240	35.072
245	34.893
250	37.458
255	39.29
260	40.431
265	41.207
270	40.2
275	39.58
280	40.924
285	40.504
290	36.948
295	32.919
300	30.508
305	29.209
310	28.848
315	29.008
320	30.511
325	31.678
330	30.998
335	28.599
340	25.297
345	23.625
350	24.946
355	28.397
360	31.75
365	33.003
370	30.964
375	26.316
380	21.131
385	17.254
390	16.266
395	17.791
400	21.017
405	24.653
410	27.138
415	27.602
420	25.861
425	22.396
430	18.124
435	14.153
440	11.249
445	9.956
450	10.494
455	12.645
460	15.69
465	18.897
470	21.508
475	23.14
480	23.735
485	23.365
490	22.154
495	20.172
500	17.539
505	14.592
510	11.651
515	9.186
520	7.531
525	6.894
530	7.329
535	8.735
540	10.779
545	13.127
550	15.448
555	17.513
560	19.199
565	20.425
570	21.21
575	21.521
580	21.356
585	20.772
590	19.807
595	18.499
600	16.913
605	15.121
610	13.212
615	11.276
620	9.442
625	7.831
630	6.564
635	5.706
640	5.34
645	5.49
650	6.114
655	7.12
660	8.404
665	9.864
670	11.419
675	12.973
680	14.435
685	15.78
690	16.938
695	17.888
700	18.669
705	19.235
710	19.642
715	19.88
720	19.96
725	19.877
730	19.61
735	19.192
740	18.607
745	17.863
750	16.985
755	16.042
760	15.025
765	13.933
770	12.836
775	11.694
780	10.554
785	9.411
790	8.309
795	7.308
800	6.432
805	5.75
810	5.251
815	4.867
820	4.712
825	4.779
830	5.007
835	5.32
840	5.677
845	6.089
850	6.568
855	7.149
860	7.842
865	8.697
870	9.702
875	10.856
880	12.087
885	13.22
890	14.277
895	15.249
900	16.136
905	16.952
910	17.659
915	18.269
920	18.789
925	19.214
930	19.568
935	19.856
940	20.077
945	20.241
950	20.337
955	20.385
960	20.378
965	20.305
970	20.184
975	20.027
980	19.82
985	19.558
990	19.257
995	18.912
1000	18.525
1005	18.094
1010	17.628
1015	17.134
1020	16.605
1025	16.053
1030	15.481
1035	14.889
1040	14.283
1045	13.668
1050	13.046
1055	12.419
1060	11.795
1065	11.18
1070	10.576
1075	9.981
1080	9.402
1085	8.851
1090	8.323
1095	7.828
1100	7.364
1105	6.94
1110	6.556
1115	6.214
1120	5.914
1125	5.656
1130	5.445
1135	5.283
1140	5.172
1145	5.116
1150	5.107
1155	5.149
1160	5.233
1165	5.362
1170	5.528
1175	5.73
1180	5.969
1185	6.244
1190	6.548
1195	6.876
1200	7.232
1205	7.609
1210	8.001
1215	8.406
1220	8.824
1225	9.256
1230	9.694
1235	10.133
1240	10.575
1245	11.012
1250	11.454
1255	11.894
1260	12.326
1265	12.752
1270	13.169
1275	13.577
1280	13.975
1285	14.362
1290	14.733
1295	15.1
1300	15.456
1305	15.793
1310	16.115
1315	16.42
1320	16.721
1325	17.012
1330	17.292
1335	17.56
1340	17.81
1345	18.031
1350	18.226
1355	18.412
1360	18.577
1365	18.725
1370	18.866
1375	19.006
1380	19.129
1385	19.235
1390	19.325
1395	19.408
1400	19.479
1405	19.548
1410	19.615
1415	19.668
1420	19.703
1425	19.726
1430	19.739
1435	19.73
1440	19.709
1445	19.685
1450	19.645
1455	19.599
1460	19.54
1465	19.471
1470	19.387
1475	19.306
1480	19.218
1485	19.113
1490	19.007
1495	18.892
1500	18.767
1505	18.634
1510	18.497
1515	18.357
1520	18.211
1525	18.056
1530	17.888
1535	17.711
1540	17.518
1545	17.327
1550	17.139
1555	16.944
1560	16.745
1565	16.542
1570	16.326
1575	16.111
1580	15.885
1585	15.66
1590	15.442
1595	15.224
1600	15.002
1605	14.787
1610	14.56
1615	14.322
1620	14.069
1625	13.808
1630	13.545
1635	13.28
1640	13.014
1645	12.757
1650	12.513
1655	12.262
1660	12.019
1665	11.771
1670	11.525
1675	11.285
1680	11.043
1685	10.809
1690	10.58
1695	10.351
1700	10.124
1705	9.892
1710	9.663
1715	9.431
1720	9.215
1725	8.991
1730	8.775
1735	8.569
1740	8.371
1745	8.186
1750	7.992
1755	7.803
1760	7.612
1765	7.435
1770	7.257
1775	7.091
1780	6.931
1785	6.778
1790	6.627
1795	6.478
1800	6.339
1805	6.208
1810	6.082
1815	5.969
1820	5.858
1825	5.748
1830	5.627
1835	5.528
1840	5.423
1845	5.341
1850	5.27
1855	5.213
1860	5.154
1865	5.089
1870	5.041
1875	4.991
1880	4.951
1885	4.939
1890	4.929
1895	4.911
1900	4.885
1905	4.868
1910	4.865
1915	4.855
1920	4.865
1925	4.892
1930	4.937
1935	4.984
1940	5.036
1945	5.065
1950	5.099
1955	5.13
1960	5.167
1965	5.22
1970	5.283
1975	5.347
1980	5.44
1985	5.528
1990	5.626
1995	5.714
2000	5.806
2005	5.891
2010	5.975
2015	6.063
2020	6.174
2025	6.291
2030	6.388
2035	6.497
2040	6.613
2045	6.728
2050	6.831
2055	6.94
2060	7.052
2065	7.16
2070	7.297
2075	7.429
2080	7.554
2085	7.657
2090	7.762
2095	7.908
2100	8.045
2105	8.154
2110	8.301
2115	8.447
2120	8.601
2125	8.764
2130	8.904
2135	9.006
2140	9.143
2145	9.274
2150	9.418
2155	9.522
2160	9.667
2165	9.805
2170	9.988
2175	10.095
2180	10.233
2185	10.336
2190	10.453
2195	10.6
2200	10.714
2205	10.794
2210	10.907
2215	11.022
2220	11.163
2225	11.298
2230	11.477
2235	11.606
2240	11.754
2245	11.867
2250	11.975
2255	12.047
2260	12.148
2265	12.3
2270	12.473
2275	12.618
2280	12.733
2285	12.797
2290	12.868
2295	12.959
2300	13.057
2305	13.169
2310	13.261
2315	13.411
2320	13.509
2325	13.624
2330	13.717
2335	13.774
2340	13.891
2345	13.993
2350	14.08
2355	14.132
2360	14.238
2365	14.358
2370	14.454
2375	14.628
2380	14.701
2385	14.854
2390	14.891
2395	14.963
2400	14.966
2405	15.001
2410	15.075
2415	15.181
2420	15.273
2425	15.339
2430	15.472
2435	15.599
2440	15.716
2445	15.799
2450	15.794
2455	15.786
2460	15.833
2465	15.908
2470	15.937
2475	15.992
2480	16.029
2485	16.165
2490	16.216
2495	16.296
2500	16.416
2505	16.436
2510	16.504
2515	16.537
2520	16.648
2525	16.833
2530	16.725
2535	17.028
2540	16.944
2545	16.923
2550	16.96
2555	16.873
2560	16.99
2565	16.717
2570	16.674
2575	16.542
2580	16.37
2585	16.423
2590	16.462
2595	16.908
2600	16.816
2605	16.849
2610	16.582
2615	16.401
2620	16.138
2625	15.937
2630	17.298
2635	17.013
2640	18.936
2645	16.521
2650	17.283
2655	46.216
2660	0.29
2665	-20.106
2670	17.424
2675	60.209
2680	104.327
2685	95.631
2690	174.508
2695	167.875
2700	124.218
2705	24.902
2710	-61.972
2715	-152.942
2720	-193.106
2725	-118.649
2730	-105.264
2735	-96.833
2740	-12.852
2745	-216.25
2750	-32.28
2755	12.353
2760	185.372
2765	263.079
2770	304.421
2775	251.253
2780	105.298
2785	-61.701
2790	-221.078
2795	-275.191
2800	-226.109
2805	-73.679
2810	161.105
2815	1.365
2820	102.704
2825	60.639
2830	43.579
2835	6.172
2840	5.085
2845	26.633
2850	7.77
2855	14.287
2860	7.526
2865	6.377
2870	9.859
2875	7.088
2880	16.822
2885	13.67
2890	11.458
2895	13.133
2900	13.904
2905	12.18
2910	13.644
2915	14.049
2920	16.177
2925	19.566
2930	16.692
2935	16.202
2940	18.644
2945	20.558
2950	24.18
2955	22.059
2960	20.026
2965	22.19
2970	23.29
2975	22.558
2980	19.902
2985	16.138
2990	13.73
2995	12.68
3000	8.565
